Dataset Row,Quarter,Total CO2 Emission (kgCO2e),Total Cost (�),Total Subsidy for Nuclear (�),Total Subsidy for Solar (�),Total Subsidy for Wind (�),Total Subsidy for Gas (�),Total Subsidy for Hydro (�),Total Subsidy for Coal (�)
1,1,1864310432.5,790135740.0,0.0,85383071550.0,40945837725.0,0.0,11486685000.0,0.0
1,2,1864310432.5,790135740.0,0.0,85383071550.0,40945837725.0,0.0,11486685000.0,0.0
1,3,1864631528.025,790135740.0,0.0,85383071550.0,41355296102.24999,0.0,11601551850.000002,0.0
1,4,1884284639.7499998,790135740.0,0.0,139601321984.25003,41764754479.500015,0.0,11716418699.999998,0.0
1,5,1904258847.0000002,790135740.0,0.0,193819572418.5,42583671234.000015,0.0,11946152399.999998,0.0
1,6,1893069046.4999998,790135740.0,0.0,248037822852.74997,43402587988.5,0.0,12175886100.0,0.0
1,7,1593875725.025,748501215.0,0.0,356474323721.25,44221504743.00001,0.0,10774546125.000004,0.0
1,8,209238416.95000002,727032165.0,0.0,458384115487.9999,45040421497.5,0.0,10155140975.0,0.0
1,9,212834890.4,709364490.0,0.0,509090419555.25006,45859338252.000015,0.0,10153355450.000002,0.0
1,10,224147145.45,696204540.0,0.0,542963756367.75,46678255006.500015,0.0,9561880649.999998,0.0
1,11,231649956.7,683035740.0,0.0,565953473405.7501,47497171761.00001,0.0,9011945600.0,0.0
1,12,238210022.15,683035740.0,0.0,583655172127.25,48316088515.50001,0.0,9011945600.0,0.0
1,13,244911822.00000006,683035740.0,0.0,601356870848.75,49135005270.00001,0.0,9094624000.0,0.0
1,14,250151055.84999996,669875790.0,0.0,619058569570.25,49953922024.500015,0.0,8324138899.999996,0.0
1,15,254094586.10000005,662510190.0,0.0,631295238137.2501,50772838779.00002,0.0,7934513999.999998,0.0
1,16,257176684.34999996,656706990.0,0.0,639378775373.75,51591755533.50004,0.0,7906208800.000001,0.0
1,17,260210259.4,656706990.0,0.0,647190137894.2499,52410672288.0,0.0,7906208800.000001,0.0
1,18,263364847.84999996,656706990.0,0.0,655001500414.75,53229589042.5,0.0,7976799950.000001,0.0
1,19,265961037.59999996,648900240.0,0.0,662812862935.2499,54048505797.000015,0.0,7721658524.999996,0.0
1,20,268349120.35000002,641088240.0,0.0,670375651308.5,54867422551.50002,0.0,7396823000.0,0.0
1,21,269849552.59999996,641088240.0,0.0,674196429417.5,55686339306.00004,0.0,7332502800.000001,0.0
1,22,271349984.84999996,641088240.0,0.0,678017207526.4999,56505256060.5,0.0,7268182600.0,0.0
1,23,272960680.3,641088240.0,0.0,681837985635.4999,57324172815.0,0.0,7268182600.0,0.0
1,24,274395519.9499999,636181140.0,0.0,685658763744.4999,58143089569.500015,0.0,7165600050.000001,0.0
1,25,275728438.2,636181140.0,0.0,689479541853.5001,58962006324.000015,0.0,7003563350.000002,0.0
1,26,277061356.45,636181140.0,0.0,693300319962.5,59780923078.50004,0.0,6841526650.000001,0.0
1,27,278394274.7,636181140.0,0.0,697121098071.4999,60599839833.000015,0.0,6679489950.000002,0.0
1,28,279604735.95,631270740.0,0.0,700254994457.9999,61418756587.49999,0.0,6588886500.0,0.0
1,29,280659877.00000006,631270740.0,0.0,702517673956.0,62237673342.000015,0.0,6588886500.0,0.0
1,30,281814099.05,631270740.0,0.0,704780353454.0,63056590096.500015,0.0,6646683750.0,0.0
1,31,282968321.1,631270740.0,0.0,707043032952.0001,63875506851.0,0.0,6704481000.0,0.0
